type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
Tv Show,Bake Squad,,,United States,11-Aug-21,2021,TV-PG,1 Season,Reality Tv,Expert Bakers Elevate Desserts With Next-Level Ideas And Epic Execution. Now The Battle Is On To Win Over Clients In Need Of Very Special Sweets.
Tv Show,Droppin' Cash: Los Angeles,,,United States,30-Jun-21,2019,TV-MA,1 Season,Reality Tv,This Complex Series Follows The Paper Trail Of Musicians And Athletes In Los Angeles As They Blow Through Stacks On The Finer Things In Life.
Tv Show,"Fresh, Fried & Crispy",,,United States,09-Jun-21,2021,TV-PG,1 Season,Reality Tv,"Passionate About Food And Ready For Fun, Critic Daym Drops Drops In On America'S Smokin' Hot Spots For The Best, Freshest Takes On Fried Food."
Tv Show,"Money, Explained",,,United States,11-May-21,2021,TV-14,1 Season,Docuseries,"We Spend It, Borrow It And Save It. Now Let'S Talk About Money And Its Many Minefields, From Credit Cards To Casinos, Scammers To Student Loans."
Tv Show,Jeffrey Epstein: Filthy Rich,,,United States,14-Apr-21,2020,TV-MA,1 Season,"Crime Tv Shows, Docuseries",Stories From Survivors Fuel This Docuseries Examining How Convicted Sex Offender Jeffrey Epstein Used His Wealth And Power To Carry Out His Abuses.
Tv Show,Unnatural Selection,,,United States,14-Apr-21,2019,TV-MA,1 Season,"Docuseries, Science & Nature Tv","From Eradicating Disease To Selecting A Child’S Traits, Gene Editing Gives Humans The Chance To Hack Biology. Meet The Real People Behind The Science."
Tv Show,Worn Stories,,,United States,01-Apr-21,2021,TV-MA,1 Season,"Docuseries, Reality Tv","In This Funny, Heartfelt And Moving Docuseries, Real People Unpack The Fascinating And Quirky Stories Around Their Most Meaningful Pieces Of Clothing."
Tv Show,Buried By The Bernards,,,United States,12-Feb-21,2021,TV-14,1 Season,Reality Tv,"In This Reality Series, The Bickering But Big-Hearted Bernards Manage Their Budget-Friendly Funeral Home While Helping Grieving Families Say Farewell."
Tv Show,Five Came Back: The Reference Films,,,United States,09-Feb-21,1945,TV-MA,1 Season,Tv Shows,"This Collection Includes 12 World War Ii-Era Propaganda Films — Many Of Which Are Graphic And Offensive — Discussed In The Docuseries ""Five Came Back."""
Tv Show,We Are: The Brooklyn Saints,,,United States,29-Jan-21,2021,TV-14,1 Season,Docuseries,A Brooklyn Youth Football Program And Its Selfless Coaches Provide A Safe Haven For Kids To Compete And Learn Lessons That Will Take Them Far In Life.
Tv Show,Spycraft,,,United States,20-Jan-21,2021,TV-MA,1 Season,"Docuseries, Science & Nature Tv","The Spy Game Is A Serious Business, And Throughout History, The Tools And Technologies Developed For It Have Mattered As Much As The Spies Themselves."
Tv Show,Bling Empire,,,United States,15-Jan-21,2021,TV-MA,1 Season,Reality Tv,"Follow La'S Wildly Wealthy Asian And Asian American Fun Seekers As They Go All Out With Fabulous Parties, Glamour And Drama In This Reality Series."
Tv Show,Surviving Death,,,United States,06-Jan-21,2021,TV-MA,1 Season,"Docuseries, Reality Tv","What Happens After We Die? This Docuseries Explores Personal Stories And Research On Near-Death Experiences, Reincarnation And Paranormal Phenomena."
Tv Show,Qb1: Beyond The Lights,,,United States,04-Jan-21,2019,TV-14,1 Season,Docuseries,This Riveting Series Follows Three Star High School Quarterbacks As They Play Their Final Season Before Moving On To Division I College Football.
